Task ID,Sprint,Gate,Task,Description,Input,Action,Output,Evidence,Dependency,Estimated Effort,AI Assistance,Human Validation,Status
OPS-099,S11,G7,Lakukan error analysis pada kasus gagal,Kasus salah/gagal dianalisis secara kualitatif dan kuantitatif untuk memahami kapan dan mengapa metode gagal.,results/main/; prediksi per sampel,Ambil sampel kesalahan; kelompokkan jenis kesalahan; hitung distribusi per kelompok; tulis temuan dan implikasinya,results/analysis.md bagian Error Analysis,Tabel jenis kesalahan + contoh ter-anonimisasi,OPS-098,3h,Membantu mengelompokkan kesalahan; label akhir oleh manusia,Tim memeriksa contoh kesalahan tidak memuat data pribadi,Planned
OPS-100,S11,G7,Buat visualisasi bukti yang jujur (figur final),"Figur final menampilkan perbandingan terhadap baseline dengan skala jujur, error bar, dan tanpa cherry-picking kondisi.",results/main/summary.csv; error analysis,Buat figur utama (perbandingan kondisi) dan figur pendukung; sumbu mulai dari nol bila relevan; error bar; caption menyebut n seed; simpan ke figures/main/,figures/main/*.png + caption,Commit figur dan skrip pembuatnya; setiap figur dapat direproduksi dari results/,OPS-098;OPS-099,2h,Membantu kode plotting; tim memeriksa kejujuran visual,Peer memeriksa figur tidak menyesatkan,Planned
OPS-101,S11,G7,Bandingkan hasil dengan literatur di synthesis matrix,"Hasil diposisikan terhadap angka dan pola dari literatur: sejalan, berbeda, atau tidak sebanding, dengan alasan.",results/main/summary.csv; synthesis-matrix.csv,"Tulis tabel hasil kami vs literatur (dataset, metrik, angka); jelaskan perbedaan setting; hindari klaim 'lebih baik' bila tidak sebanding",results/analysis.md bagian Comparison with Literature,Tabel perbandingan merujuk baris matriks,OPS-036;OPS-098,2h,Membantu menyusun tabel; angka literatur diverifikasi ke matriks,Tim memastikan perbandingan apple-to-apple atau dinyatakan tidak sebanding,Planned
OPS-102,S11,G7,Tulis draft results/analysis.md,"Dokumen analisis menggabungkan ringkasan hasil, ketidakpastian, error analysis, perbandingan literatur, dan temuan negatif.",results/main/summary.csv; error analysis; figur; perbandingan literatur,"Tulis results/analysis.md: setup, hasil per RQ, error analysis, perbandingan, temuan negatif, hal yang belum dijelaskan",results/analysis.md v0,Commit; tiap angka merujuk file di results/,OPS-099;OPS-100;OPS-101,3h,Mengkritik kejelasan dan mendeteksi klaim tanpa rujukan tabel,Dosen memeriksa hasil negatif dilaporkan,Planned
OPS-103,S11,G7,Perbarui AI Usage Log dan jurnal mingguan W11,Penggunaan AI dalam analisis dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W11: apa yang bukti dukung dan tidak dukung,AI Usage Log W11 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w11.md,OPS-095;OPS-096,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-104,S11,G7,"Arsipkan hasil, log, dan konfigurasi eksperimen utama","Semua hasil, log, config, dan git hash eksperimen utama diarsipkan agar dapat ditelusuri dari tabel ke run.",results/main/; experiments/main/logs/,"Buat experiments/main/README.md berisi daftar run (config, seed, git hash, file hasil); pastikan .gitignore hanya mengecualikan data mentah",experiments/main/README.md,Commit; setiap baris summary.csv dapat ditelusuri ke run,OPS-097;OPS-098,1h,-,Tim memeriksa tautan tabel ke run lengkap,Planned
OPS-105,S12,G7,Ikuti sesi Scientific Argumentation (Claim-Evidence-Reasoning),"Mahasiswa belajar menyusun argumen ilmiah: klaim, bukti, penalaran; serta jebakan klaim kausal dari korelasi dan improvement tanpa baseline.",Materi W12; MST-03 CER; OPS-03 G7,"Ikuti sesi; kerjakan latihan menilai 5 klaim contoh: didukung, berlebihan, atau tidak didukung",Latihan CER,docs/journal/w12.md berisi latihan,OPS-096,2h,Memberi contoh klaim untuk dinilai,Mahasiswa menilai klaim secara mandiri,Planned
OPS-106,S12,G7,Susun tabel Claim-Evidence-Reasoning untuk setiap RQ,Setiap RQ dijawab dengan klaim eksplisit yang menunjuk tabel/figur tertentu dan penalaran yang menghubungkannya; hasil negatif dilaporkan.,results/analysis.md; figures/main/; docs/research-question.md,Buat tabel RQ | Claim | Evidence (tabel/figur + angka) | Reasoning | Confidence; sertakan klaim negatif/null,results/analysis.md bagian CER Table,Setiap klaim menunjuk file/figur tertentu,OPS-102;OPS-105,2.5h,Berperan sebagai reviewer yang menantang setiap klaim,Dosen + mentor memeriksa tidak ada klaim kausal dari korelasi,Planned
OPS-107,S12,G7,Perbarui Threats to Validity berdasarkan hasil aktual,"Ancaman validitas v1 (ditulis pra-eksperimen di G5) direvisi berdasarkan apa yang benar-benar terjadi: ancaman baru, mitigasi yang berhasil/gagal, batasan yang diterima.",docs/research-design.md Threats v1; results/analysis.md; sanity check,Tinjau tiap ancaman v1; tambah ancaman yang muncul saat eksperimen; nyatakan dampaknya pada klaim; tulis versi v2 di results/analysis.md,Threats to Validity v2,results/analysis.md bagian Threats v2 dengan kolom perubahan dari v1,OPS-067;OPS-106,2h,Mengusulkan ancaman yang terlewat,Tim memastikan tiap ancaman dikaitkan dengan klaim yang terdampak,Planned
OPS-108,S12,G7,Revisi Contribution Statement agar tidak melebihi bukti,"Pernyataan kontribusi disesuaikan dengan bukti: apa yang benar-benar dibuktikan, batas generalisasi, dan apa yang belum.",docs/research-question.md Contribution; CER table; threats v1,Bandingkan kontribusi awal dengan CER; turunkan/naikkan klaim sesuai bukti; tulis batas generalisasi,Contribution Statement v2,Commit; perubahan dari v1 dijelaskan,OPS-106;OPS-107,1h,Mengkritik kontribusi yang berlebihan,Mentor memeriksa kontribusi tidak melebihi bukti,Planned
OPS-109,S12,G7,Tulis bagian Limitations dan Future Work,Keterbatasan riset dan langkah lanjutan untuk TA ditulis jujur berdasarkan threats v2 dan error analysis.,Threats v2; error analysis; docs/endgame.md,Tulis daftar keterbatasan dengan dampaknya; tulis 3-5 langkah lanjutan yang konkret untuk TA,results/analysis.md bagian Limitations & Future Work,Commit; tiap future work terkait keterbatasan tertentu,OPS-107;OPS-108,1.5h,Membantu merapikan; isi dari tim,Tim memastikan keterbatasan tidak disembunyikan,Planned
OPS-110,S12,G7,Perbarui Research One-Pager ke v2 (hasil dan klaim),"One-Pager v2 memuat hasil utama, klaim, keterbatasan, dan kontribusi final dalam satu halaman.",docs/one-pager.md v1; CER table; contribution v2,"Isi bagian Results, Claim, Limitations; perbarui Method/Data/Baseline/Metric dengan yang aktual",docs/one-pager.md v2,Commit dengan tag one-pager-v2,OPS-056;OPS-106;OPS-108,1h,Meringkas; tim memverifikasi angka,Tim memeriksa setiap angka di One-Pager cocok dengan summary.csv,Planned
OPS-111,S12,G7,Siapkan PR GATE REVIEW: Claim Ready,"Bukti G7 (results/analysis.md, figur final, tabel CER, threats v2, contribution v2) diajukan dalam PR dari branch research/g7-claim dengan template default.",OPS-03 G7; semua artefak analisis,Buat branch research/g7-claim; buka PR; minta review dosen + mentor; tanggapi; merge; perbarui label gate:G7-claim,PR GATE REVIEW: Claim Ready,URL PR; label gate:G7-claim,OPS-100;OPS-104;OPS-106;OPS-107;OPS-108;OPS-110,1.5h,-,Reviewer memeriksa setiap klaim menunjuk tabel/figur tertentu,Planned
OPS-112,S12,G7,Perbarui AI Usage Log dan jurnal mingguan W12,Penggunaan AI dalam argumentasi dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W12: klaim mana yang harus diturunkan dan mengapa,AI Usage Log W12 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w12.md,OPS-103;OPS-105,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-113,S13,G8,Ikuti sesi Scientific Writing dan struktur proposal/manuscript,"Mahasiswa belajar struktur IMRaD, penulisan berbasis CER, sitasi yang benar, dan perbedaan Proposal TA dengan manuscript.",Materi W13; MET-05 Publication Backward Design; format Proposal TA prodi,Ikuti sesi; pilih format target (Proposal TA wajib; manuscript bila endgame paper); buat outline dengan peta bagian ke artefak repo,Outline proposal/manuscript,paper/outline.md memetakan tiap bagian ke file bukti,OPS-105,2h,Membantu menyusun outline dari artefak yang ada,Dosen memeriksa outline mencakup semua komponen Research Pack,Planned
OPS-114,S13,G8,Tulis Pendahuluan dan Tinjauan Pustaka dari artefak G2-G3,Bagian pendahuluan dan tinjauan pustaka disusun ulang dari docs/problem.md dan docs/literature-map.md dengan sitasi terverifikasi.,docs/problem.md; docs/literature-map.md; references.bib,Tulis paper/proposal.md bagian 1-2; setiap klaim literatur memakai kunci BibTeX; jangan menambah sitasi baru tanpa verifikasi,Bagian 1-2 proposal,Commit; semua sitasi ada di references.bib terverifikasi,OPS-044;OPS-113,4h,Membantu memperbaiki alur kalimat; tidak menghasilkan sitasi; setiap bantuan dicatat,Tim memeriksa tiap sitasi dibaca dan terverifikasi,Planned
OPS-115,S13,G8,Tulis Metode dari Research Design Card dan Data Plan,"Bagian metode ditulis agar orang lain dapat mengulang: desain, data, baseline, metrik, prosedur evaluasi, dan penggunaan AI yang memengaruhi metode.",docs/design-card.md; docs/data-plan.md; docs/research-design.md,Tulis bagian Metode; sertakan pengungkapan AI dalam metode bila AI memengaruhi desain/kode/analisis; rujuk experiments/README.md,Bagian Metode,Commit; bagian AI disclosure dalam metode ada,OPS-066;OPS-113,3h,Membantu merapikan; isi dari dokumen tim,Mentor memeriksa metode cukup rinci untuk direplikasi,Planned
OPS-116,S13,G8,Tulis Hasil dan Pembahasan dari analysis.md dan tabel CER,Bagian hasil melaporkan angka dengan ketidakpastian dan figur jujur; pembahasan mengikuti CER dan threats v1.,results/analysis.md; CER table; figures/main/; threats v1,"Tulis bagian Hasil (tabel/figur dari results/) dan Pembahasan (CER, perbandingan literatur, threats, limitations)",Bagian Hasil & Pembahasan,Commit; setiap angka dapat ditelusuri ke results/main/summary.csv,OPS-106;OPS-107;OPS-111;OPS-113,4h,Membantu alur kalimat; angka dan klaim dari CER table,Dosen memeriksa tidak ada klaim baru yang tidak ada di CER table,Planned
OPS-117,S13,G8,Tulis Rencana TA (timeline semester VIII) dan target output,"Proposal TA memuat rencana kerja semester VIII yang menyambung dari pilot: eksperimen lanjutan, data tambahan, milestone, risiko.",Limitations & Future Work; docs/endgame.md,"Tulis bagian Rencana TA: tujuan, tahapan, timeline mingguan, risiko dan mitigasi, target output",Bagian Rencana TA,Commit; timeline memuat milestone terukur,OPS-109;OPS-113,2h,Membantu menyusun timeline; keputusan oleh tim,Mentor memeriksa rencana realistis untuk 1 semester,Planned
OPS-118,S13,G8,Tulis AI Usage Statement dari AI Usage Log,"Pernyataan penggunaan AI yang ringkas dan jujur disusun dari seluruh AI Usage Log, membedakan bantuan penulisan dengan AI yang memengaruhi kesimpulan.",docs/AI-USAGE.md; AIX-04; kebijakan pengungkapan AI (MET-07),Rangkum log per tahap; tulis paper/AI-USAGE-STATEMENT.md dan bagian singkat di proposal; sebutkan verifikasi yang dilakukan,AI Usage Statement,Commit; statement konsisten dengan log,OPS-112,1.5h,-,Dosen membandingkan statement dengan log secara acak,Planned
OPS-119,S13,G8,Rakit draft Research Pack v0.8 dan periksa kelengkapan MET-04,Semua komponen Research Pack dikumpulkan dan diperiksa terhadap spesifikasi MET-04; komponen kosong ditandai.,MET-04 Research Pack Specification; seluruh repo,Buat docs/research-pack.md berisi daftar 16 komponen dengan tautan ke file; tandai lengkap/parsial/kosong; rencanakan penutupan celah,docs/research-pack.md (indeks),Commit indeks; tidak ada komponen kosong tanpa rencana,OPS-111;OPS-114;OPS-115;OPS-116;OPS-117;OPS-118,1.5h,-,Dosen memeriksa indeks terhadap MET-04,Planned
OPS-120,S13,G8,Buat release v0.8 Manuscript Draft,Draft proposal/manuscript lengkap dirilis sebagai milestone v0.8 sebelum peer review.,paper/proposal.md lengkap; docs/research-pack.md,Ekspor proposal ke PDF di paper/; buat tag dan release v0.8 dengan catatan perubahan; perbarui README riset,Release v0.8,Tag/release v0.8 di repo; paper/proposal-v0.8.pdf,OPS-119,1h,-,Tim memeriksa PDF identik dengan sumber markdown,Planned
OPS-121,S13,G8,Perbarui AI Usage Log dan jurnal mingguan W13,Penggunaan AI dalam penulisan dicatat secara rinci; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log per bagian tulisan; tulis jurnal W13,AI Usage Log W13 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w13.md,OPS-112;OPS-118,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-122,S14,G8,Ikuti sesi Peer Review: mahasiswa menjadi reviewer,"Mahasiswa belajar menilai problem, evidence, RQ, method, results, claim, limitations secara konstruktif memakai TPL-12.",Materi W14; TPL-12 Peer Review Template; MET-06,Ikuti sesi; kalibrasi dengan mereview satu contoh proposal bersama; bandingkan skor antar mahasiswa,Latihan kalibrasi review,docs/journal/w14.md berisi hasil kalibrasi,OPS-113,2h,Menjelaskan kriteria rubrik dengan contoh,Dosen memeriksa kalibrasi skor,Planned
OPS-123,S14,G8,Tulis peer review untuk draft tim lain (memberi),"Tim mereview draft v0.8 tim lain dengan TPL-12: komentar spesifik, bukti yang kurang, dan rekomendasi.",Draft v0.8 tim lain; TPL-12,Baca draft penuh; isi TPL-12 per bagian; beri minimal 5 komentar spesifik yang merujuk halaman/tabel; kirim sebagai PR review atau Issue di repo tim lain,Peer review terkirim,Bukti PR review/Issue di repo tim lain,OPS-122,3h,Membantu memeriksa konsistensi angka dalam draft; penilaian oleh manusia,Dosen memeriksa review spesifik dan sopan,Planned
OPS-124,S14,G8,Terima peer review dan buat tabel tanggapan (response to reviewers),"Semua komentar reviewer (peer dan dosen) dikumpulkan dalam tabel tanggapan: terima/tolak, tindakan, lokasi perubahan.",Review yang diterima; draft v0.8,Kumpulkan komentar; buat paper/response-to-reviewers.md; klasifikasikan mayor/minor; tentukan tindakan,paper/response-to-reviewers.md,Commit tabel dengan status tiap komentar,OPS-120,1.5h,Membantu mengelompokkan komentar,Tim memutuskan sendiri terima/tolak dengan alasan,Planned
OPS-125,S14,G8,Verifikasi ulang seluruh sitasi dan angka di draft,"Sebelum revisi, setiap sitasi dicek ke references.bib dan setiap angka ke results/; ketidaksesuaian dicatat.",paper/proposal.md; references.bib; results/main/summary.csv,Buat checklist sitasi dan angka; periksa satu per satu; catat temuan; perbaiki,Checklist verifikasi draft,paper/verification-checklist.md terisi; tidak ada sitasi/angka tanpa sumber,OPS-120,2h,Membantu mencocokkan angka secara otomatis; hasil diperiksa manusia,Dua anggota memeriksa silang,Planned
OPS-126,S14,G8,Perbaiki reproducibility README final dan uji dari environment bersih,README reproduksi diperbarui untuk eksperimen utama dan diuji sekali lagi dari environment bersih.,experiments/README.md v1; experiments/main/README.md,Gabungkan instruksi pilot dan main; uji dari clone baru; catat waktu dan hasil; perbaiki,experiments/README.md final,Commit; catatan uji reproduksi final di docs/reviews/,OPS-092;OPS-104,2h,Membantu memperjelas instruksi,Anggota yang tidak menulis kode menjalankan uji,Planned
OPS-127,S14,G8,Siapkan draft slide Research Defense (TPL-13),"Slide defense 7-10 menit disusun dari One-Pager v2 dan CER table, dengan slide cadangan untuk pertanyaan sulit.",TPL-13; docs/one-pager.md v2; CER table; figures/main/,"Susun slide sesuai struktur TPL-13; siapkan maksimal 3 slide cadangan (threats, error analysis, reproduksi); pastikan figur dari figures/",presentation/defense-draft.pdf,Commit slide draft,OPS-110,3h,Membantu merapikan alur slide; angka dari artefak tim,Tim memastikan tiap slide bersumber dari repo,Planned
OPS-128,S14,G8,Buka PR GATE REVIEW: Contribution Ready (manuscript-review.md) draft,PR manuscript review dibuka dari branch research/g8-contribution agar reviewer dosen dapat mulai memberi komentar; merge menunggu revisi dan defense.,OPS-03 G8; .github/PULL_REQUEST_TEMPLATE/manuscript-review.md; release v0.8,Buat branch research/g8-contribution; isi template PR; tautkan response-to-reviewers; minta review dosen + mentor + peer,PR GATE REVIEW: Contribution Ready (open),URL PR terbuka dengan komentar reviewer,OPS-121;OPS-124,1h,-,Dosen mulai review terhadap definition of done G8,Planned
OPS-129,S14,G8,Perbarui AI Usage Log dan jurnal mingguan W14,Penggunaan AI dalam mereview dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W14: komentar reviewer mana yang paling sulit diterima,AI Usage Log W14 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w14.md,OPS-121;OPS-122,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-130,S15,G8,Ikuti sesi Revision & Defense Preparation,"Mahasiswa belajar merevisi berdasarkan review tanpa mengubah klaim di luar bukti, dan cara menjawab pertanyaan defense.",Materi W15; response-to-reviewers; TPL-13,Ikuti sesi; latihan menjawab 5 pertanyaan penguji tipikal dengan merujuk bukti,Latihan tanya jawab,docs/journal/w15.md berisi latihan,OPS-122,1.5h,Berperan sebagai penguji memberi pertanyaan latihan,Mahasiswa menjawab dengan merujuk artefak,Planned
OPS-131,S15,G8,Revisi proposal/manuscript sesuai tabel tanggapan,Semua komentar mayor/minor yang diterima dieksekusi; perubahan dicatat di tabel tanggapan dengan lokasi.,paper/response-to-reviewers.md; paper/proposal.md,"Kerjakan komentar mayor lebih dulu; perbarui teks, tabel, figur; isi kolom lokasi perubahan; minta reviewer mengonfirmasi",Proposal v0.9,Commit revisi; tabel tanggapan berstatus selesai,OPS-124;OPS-125,5h,Membantu memperbaiki kalimat; tidak menambah klaim atau sitasi,Reviewer mengonfirmasi tanggapan memadai,Planned
OPS-132,S15,G8,Sinkronkan seluruh Research Pack dengan revisi,"Perubahan pada proposal ditularkan ke One-Pager, design card, analysis.md, dan README riset agar tidak ada versi yang bertentangan.",docs/research-pack.md indeks; proposal v0.9,Periksa tiap komponen Research Pack; perbarui yang terdampak; perbarui indeks,Research Pack tersinkron,Commit; indeks research-pack.md tanpa status parsial,OPS-131,2h,Membantu mendeteksi inkonsistensi antar dokumen,Tim memeriksa angka dan klaim identik di semua dokumen,Planned
OPS-133,S15,G8,Isi Research Integrity Checklist (TPL-11) dan tandatangani,"Checklist integritas diisi jujur: tidak ada fabrikasi, falsifikasi, plagiarisme, sitasi tak terverifikasi, atau AI tak diungkap.",TPL-11; seluruh Research Pack; AI Usage Log; verification-checklist,Isi tiap butir dengan bukti (tautan file); semua anggota menandatangani; unggah ke docs/integrity-checklist.md,docs/integrity-checklist.md tertandatangani,Commit checklist; tiap butir merujuk bukti,OPS-125;OPS-132,1.5h,-,Dosen memverifikasi butir secara acak; satu pelanggaran = gate gagal,Planned
OPS-134,S15,G8,Latihan defense (rehearsal) dengan timer dan mock penguji,Tim berlatih defense penuh dengan timer 7-10 menit dan sesi tanya jawab oleh peer/mentor sebagai mock penguji.,presentation/defense-draft.pdf; peer/mentor,"Lakukan rehearsal minimal 2 kali; catat waktu, pertanyaan, dan jawaban yang lemah; perbaiki slide dan jawaban",Catatan rehearsal,docs/reviews/defense-rehearsal.md berisi waktu dan daftar pertanyaan,OPS-127;OPS-130,2h,Berperan sebagai penguji tambahan,Mentor/peer menilai kesiapan,Planned
OPS-135,S15,G8,Finalkan slide defense dan lembar ringkas untuk penguji,Slide final dan ringkasan satu halaman (One-Pager v2) disiapkan untuk penguji.,Catatan rehearsal; docs/one-pager.md v2,Perbaiki slide; ekspor presentation/defense-final.pdf; cetak/siapkan One-Pager v2 untuk penguji,presentation/defense-final.pdf,Commit slide final,OPS-134,1.5h,Membantu merapikan,Tim memeriksa konsistensi slide dengan proposal v0.9,Planned
OPS-136,S15,G8,Perbarui AI Usage Log dan jurnal mingguan W15,Penggunaan AI dalam revisi dicatat; refleksi ditulis.,docs/AI-USAGE.md; kegiatan minggu ini,Lengkapi entri log; tulis jurnal W15,AI Usage Log W15 + jurnal,Commit docs/AI-USAGE.md dan docs/journal/w15.md,OPS-129;OPS-131,0.5h,-,Setiap anggota memverifikasi entri log miliknya,Planned
OPS-137,S16,G8,Presentasikan Research Defense (7-10 menit) dan tanya jawab,"Tim mempertanggungjawabkan riset secara oral di depan dosen pengampu, mentor, dan penguji; setiap jawaban merujuk bukti.",presentation/defense-final.pdf; Research Pack; docs/integrity-checklist.md,Presentasi sesuai TPL-13; jawab pertanyaan dengan merujuk tabel/figur; catat semua pertanyaan dan catatan penguji,Defense terlaksana,"docs/reviews/defense-minutes.md berisi pertanyaan, jawaban, catatan penguji, rekaman bila ada",OPS-133;OPS-135,2h,-,Penguji menilai dengan 5E Rubric; integrity checklist wajib sudah ditandatangani sebelum defense,Planned
OPS-138,S16,G8,Lakukan revisi pasca-defense,Catatan penguji yang bersifat wajib dieksekusi; yang bersifat saran dicatat sebagai future work.,docs/reviews/defense-minutes.md; proposal v0.9,Klasifikasikan catatan penguji; perbaiki proposal dan Research Pack; catat di CHANGELOG riset,Proposal final,Commit revisi; defense-minutes.md berstatus selesai,OPS-137,3h,Membantu memperbaiki kalimat; tidak menambah klaim,Dosen mengonfirmasi catatan wajib terpenuhi,Planned
OPS-139,S16,G8,Finalkan AI Usage Statement dan AI-USAGE.md,AI Usage Log ditutup untuk semester ini dan AI Usage Statement diselaraskan dengan versi final dokumen.,docs/AI-USAGE.md; paper/AI-USAGE-STATEMENT.md,Tambahkan entri W16; periksa statement mencakup semua tahap; tandai log sebagai final untuk Metopen,AI Usage Statement final,Commit; statement dan log konsisten,OPS-118;OPS-136;OPS-138,1h,-,Dosen membandingkan statement dan log,Planned
OPS-140,S16,G8,Isi Research Handoff (TPL-14) ke TA/mentor/AI Center,"Handoff mencatat what exists, missing evidence, next steps, owner agar dosen pembimbing TA dapat memulai tanpa mengulang dari nol.",TPL-14; Research Pack final; Limitations & Future Work; Rencana TA,"Isi docs/handoff.md: artefak yang ada (tautan), bukti yang belum ada, langkah berikutnya, owner, mentor, Research ID; kirim ke mentor/pembimbing TA",docs/handoff.md,Commit handoff; konfirmasi penerimaan dari mentor,OPS-138,1.5h,Membantu merangkum artefak; isi diverifikasi tim,Mentor mengonfirmasi handoff cukup untuk memulai bimbingan TA,Planned
OPS-141,S16,G8,"Perbarui registry: Issue, dataset card, dan publikasi bila ada","Status Issue, dataset card di datasets-registry, dan entri publications/ (bila endgame paper) diperbarui ke kondisi akhir.",Issue Research ID; dataset card; publications/PUBLICATIONS.md; TPL-06,"Perbarui Issue dengan tautan Research Pack; perbarui dataset card (status, ukuran final); buat Issue type:publication bila manuscript disiapkan; perbarui Mission Control",Registry diperbarui,Issue dan registry menunjukkan status akhir,OPS-063;OPS-138,1h,-,Pengelola registry memeriksa entri,Planned
OPS-142,S16,G8,"Lengkapi CITATION.cff, LICENSE, CHANGELOG, dan README riset",Metadata repositori dilengkapi agar dapat disitasi dan dilisensikan sesuai LICENSING.md.,TPL-15; LICENSING.md; README riset,"Isi CITATION.cff; pastikan LICENSE sesuai (Apache-2.0 kode, CC BY 4.0 dokumen); tulis CHANGELOG v1.0; perbarui README bagian Current Research Gate = G8",Metadata repo lengkap,Commit; README riset memuat status G8 dan tautan Research Pack,OPS-138,1h,Membantu format CITATION.cff,Tim memeriksa lisensi sesuai kebijakan,Planned
OPS-143,S16,G8,Merge PR GATE REVIEW: Contribution Ready,"PR G8 diselesaikan: semua komentar reviewer ditanggapi, defense lulus, integrity checklist ditandatangani, handoff terisi.",PR G8 terbuka (OPS-128); semua artefak final,"Perbarui PR dengan tautan defense-minutes, integrity checklist, handoff; minta persetujuan akhir; merge; perbarui label gate:G8-contribution dan Mission Control",PR G8 termerge,URL PR termerge; label gate:G8-contribution,OPS-128;OPS-133;OPS-137;OPS-139;OPS-140;OPS-142,1h,-,Dosen pengampu menyetujui merge = gate lulus,Planned
OPS-144,S16,G8,Buat release v1.0 Research Pack,Research Pack final dirilis sebagai v1.0 dengan seluruh komponen MET-04 dan PDF proposal.,PR G8 termerge; docs/research-pack.md,Buat tag v1.0; tulis release notes berisi daftar komponen dan tautan; lampirkan paper/proposal-v1.0.pdf; umumkan di Issue,Release v1.0,Release v1.0 di repo; Issue diperbarui dengan tautan release,OPS-143,1h,-,Dosen memeriksa release memuat semua komponen,Planned
OPS-145,S16,G8,Tulis refleksi akhir semester dan rencana semester VIII,"Setiap anggota menulis refleksi: perubahan cara berpikir, kompetensi AI yang dicapai, dan komitmen TA.",Jurnal W1-W15; AIX-02 level kompetensi; docs/handoff.md,"Tulis docs/journal/w16-reflection.md per anggota: 3 hal yang berubah, level kompetensi AI yang diklaim beserta bukti, langkah pertama TA",Refleksi akhir,Commit docs/journal/w16-reflection.md,OPS-140;OPS-144,1h,-,Dosen membaca dan memberi umpan balik akhir,Planned
